,data,timestamp
10148,"{'avgHighPrice': 290, 'highPriceVolume': 2, 'avgLowPrice': 287, 'lowPriceVolume': 32}",1651579200
10149,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 52, 'lowPriceVolume': 28}",1651579200
10158,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 75, 'lowPriceVolume': 3}",1651579200
10159,"{'avgHighPrice': 813, 'highPriceVolume': 6, 'avgLowPrice': 812, 'lowPriceVolume': 6}",1651579200
1017,"{'avgHighPrice': 141, 'highPriceVolume': 7, 'avgLowPrice': 100, 'lowPriceVolume': 13}",1651579200
1019,"{'avgHighPrice': 580, 'highPriceVolume': 2, 'avgLowPrice': 563, 'lowPriceVolume': 3}",1651579200
1021,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 322, 'lowPriceVolume': 14}",1651579200
1023,"{'avgHighPrice': 420, 'highPriceVolume': 1, 'avgLowPrice': 271, 'lowPriceVolume': 4}",1651579200
1025,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 104, 'lowPriceVolume': 1}",1651579200
10280,"{'avgHighPrice': 3805, 'highPriceVolume': 2, 'avgLowPrice': 3905, 'lowPriceVolume': 2}",1651579200
10282,"{'avgHighPrice': 3019, 'highPriceVolume': 1, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
10284,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 4501, 'lowPriceVolume': 1}",1651579200
10286,"{'avgHighPrice': 42082, 'highPriceVolume': 3, 'avgLowPrice': 42001, 'lowPriceVolume': 2}",1651579200
10288,"{'avgHighPrice': 23069, 'highPriceVolume': 1, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
1029,"{'avgHighPrice': 1000, 'highPriceVolume': 4, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
10294,"{'avgHighPrice': 22141, 'highPriceVolume': 1, 'avgLowPrice': 20637, 'lowPriceVolume': 1}",1651579200
