timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,name,update,update1,update2,update3,priceIn6H,Price6H,Volume6H,Price12H,Volume12H,Price18H,Volume18H,Price24H,Volume24H,Price30H,Volume30H,Price36H,Volume36H,Price42H,Volume42H,Price48H,Volume48H,Price54H,Volume54H,Price72H,Volume72H,Price96H,Volume96H,Price120H,Volume120H,Price144H,Volume144H,3rd age platebody
1651525200,106618831.0,,2.0,0.0,3rd age platebody,0,0,0,1,,106618831.0,2.0,,0.0,107298000.0,1.0,107160958.0,3.0,1.0,1.0,107388656.0,1.0,108333333.0,1.0,,0.0,,0.0,110098996.0,2.0,110606060.0,1.0,110500000.0,1.0,113000000.0,1.0,1
1651503600,,105275000.0,0.0,1.0,3rd age platebody,0,0,0,1,106618831.0,,0.0,107298000.0,1.0,107160958.0,3.0,107347986.0,1.0,1.0,1.0,108333333.0,1.0,,0.0,,0.0,108777000.0,1.0,110500000.0,1.0,,0.0,,0.0,110896420.0,1.0,1
1651482000,107298000.0,,1.0,0.0,3rd age platebody,0,0,0,1,,107298000.0,1.0,107160958.0,3.0,107347986.0,1.0,107388656.0,1.0,1.0,1.0,,0.0,,0.0,108777000.0,1.0,,0.0,,0.0,110776999.0,1.0,111944000.0,1.0,,0.0,1
1651438800,107160958.0,,3.0,0.0,3rd age platebody,0,0,0,1,107298000.0,107160958.0,3.0,107347986.0,1.0,107388656.0,1.0,108333333.0,1.0,0.0,0.0,,0.0,108777000.0,1.0,,0.0,110098996.0,2.0,109997453.0,4.0,109790000.0,1.0,111000000.0,2.0,112000000.0,2.0,1
1651417200,107347986.0,105450004.0,1.0,1.0,3rd age platebody,0,0,0,1,107160958.0,107347986.0,1.0,107388656.0,1.0,108333333.0,1.0,,0.0,0.0,0.0,108777000.0,1.0,,0.0,110098996.0,2.0,110500000.0,1.0,110606060.0,1.0,110500000.0,1.0,113000000.0,1.0,,0.0,1
1651395600,107388656.0,105983909.0,1.0,2.0,3rd age platebody,0,0,0,1,107347986.0,107388656.0,1.0,108333333.0,1.0,,0.0,,0.0,1.0,1.0,,0.0,110098996.0,2.0,110500000.0,1.0,,0.0,,0.0,,0.0,110896420.0,1.0,,0.0,1
1651352400,108333333.0,106201000.0,1.0,1.0,3rd age platebody,0,0,0,1,107388656.0,108333333.0,1.0,,0.0,,0.0,108777000.0,1.0,0.0,0.0,110098996.0,2.0,110500000.0,1.0,,0.0,109997453.0,4.0,110776999.0,1.0,111944000.0,1.0,,0.0,106979993.0,2.0,1
1651330800,,106000000.0,0.0,2.0,3rd age platebody,0,0,0,1,108333333.0,,0.0,,0.0,108777000.0,1.0,,0.0,2.0,2.0,110500000.0,1.0,,0.0,109997453.0,4.0,110606060.0,1.0,109790000.0,1.0,111000000.0,2.0,112000000.0,2.0,104998554.0,1.0,1
1651222800,,104347000.0,0.0,1.0,3rd age platebody,0,0,0,1,,,0.0,108777000.0,1.0,,0.0,110098996.0,2.0,1.0,1.0,,0.0,109997453.0,4.0,110606060.0,1.0,,0.0,110500000.0,1.0,113000000.0,1.0,,0.0,105200000.0,1.0,1
1651136400,108777000.0,,1.0,0.0,3rd age platebody,0,0,0,1,,108777000.0,1.0,,0.0,110098996.0,2.0,110500000.0,1.0,0.0,0.0,109997453.0,4.0,110606060.0,1.0,,0.0,110776999.0,1.0,,0.0,110896420.0,1.0,,0.0,,0.0,1
1651114800,,104210000.0,0.0,2.0,3rd age platebody,0,0,0,1,108777000.0,,0.0,110098996.0,2.0,110500000.0,1.0,,0.0,4.0,4.0,110606060.0,1.0,,0.0,110776999.0,1.0,109790000.0,1.0,111944000.0,1.0,,0.0,106979993.0,2.0,107727667.0,3.0,1
1651071600,110098996.0,,2.0,0.0,3rd age platebody,0,0,0,1,,110098996.0,2.0,110500000.0,1.0,,0.0,109997453.0,4.0,1.0,1.0,,0.0,110776999.0,1.0,109790000.0,1.0,110500000.0,1.0,111000000.0,2.0,112000000.0,2.0,104998554.0,1.0,107237810.0,4.0,1
1651050000,110500000.0,108007001.0,1.0,2.0,3rd age platebody,0,0,0,1,110098996.0,110500000.0,1.0,,0.0,109997453.0,4.0,110606060.0,1.0,0.0,0.0,110776999.0,1.0,109790000.0,1.0,110500000.0,1.0,,0.0,113000000.0,1.0,,0.0,105200000.0,1.0,108000000.0,2.0,1
1651028400,,107505821.0,0.0,4.0,3rd age platebody,0,0,0,1,110500000.0,,0.0,109997453.0,4.0,110606060.0,1.0,,0.0,1.0,1.0,109790000.0,1.0,110500000.0,1.0,,0.0,111944000.0,1.0,110896420.0,1.0,,0.0,,0.0,105694000.0,1.0,1
1650985200,109997453.0,107727500.0,4.0,2.0,3rd age platebody,0,0,0,1,,109997453.0,4.0,110606060.0,1.0,,0.0,110776999.0,1.0,1.0,1.0,110500000.0,1.0,,0.0,111944000.0,1.0,111000000.0,2.0,,0.0,106979993.0,2.0,107727667.0,3.0,,0.0,1
1650942000,110606060.0,107125000.0,1.0,1.0,3rd age platebody,0,0,0,1,109997453.0,110606060.0,1.0,,0.0,110776999.0,1.0,109790000.0,1.0,1.0,1.0,,0.0,111944000.0,1.0,111000000.0,2.0,113000000.0,1.0,112000000.0,2.0,104998554.0,1.0,107237810.0,4.0,105555000.0,2.0,1
1650920400,,108100000.0,0.0,1.0,3rd age platebody,0,0,0,1,110606060.0,,0.0,110776999.0,1.0,109790000.0,1.0,110500000.0,1.0,0.0,0.0,111944000.0,1.0,111000000.0,2.0,113000000.0,1.0,110896420.0,1.0,,0.0,105200000.0,1.0,108000000.0,2.0,,0.0,1
1650898800,110776999.0,108000000.0,1.0,1.0,3rd age platebody,0,0,0,1,,110776999.0,1.0,109790000.0,1.0,110500000.0,1.0,,0.0,1.0,1.0,111000000.0,2.0,113000000.0,1.0,110896420.0,1.0,,0.0,,0.0,,0.0,105694000.0,1.0,105700000.0,1.0,1
1650877200,109790000.0,,1.0,0.0,3rd age platebody,0,0,0,1,110776999.0,109790000.0,1.0,110500000.0,1.0,,0.0,111944000.0,1.0,2.0,2.0,113000000.0,1.0,110896420.0,1.0,,0.0,112000000.0,2.0,106979993.0,2.0,107727667.0,3.0,,0.0,,0.0,1
1650855600,110500000.0,,1.0,0.0,3rd age platebody,0,0,0,1,109790000.0,110500000.0,1.0,,0.0,111944000.0,1.0,111000000.0,2.0,1.0,1.0,110896420.0,1.0,,0.0,112000000.0,2.0,,0.0,104998554.0,1.0,107237810.0,4.0,105555000.0,2.0,104469856.0,2.0,1
1650834000,,109222222.0,0.0,1.0,3rd age platebody,0,0,0,1,110500000.0,,0.0,111944000.0,1.0,111000000.0,2.0,113000000.0,1.0,1.0,1.0,,0.0,112000000.0,2.0,,0.0,,0.0,105200000.0,1.0,108000000.0,2.0,,0.0,106000000.0,1.0,1
1650812400,111944000.0,109000005.0,1.0,1.0,3rd age platebody,0,0,0,1,,111944000.0,1.0,111000000.0,2.0,113000000.0,1.0,110896420.0,1.0,0.0,0.0,112000000.0,2.0,,0.0,,0.0,106979993.0,2.0,,0.0,105694000.0,1.0,105700000.0,1.0,103163549.0,1.0,1
1650769200,111000000.0,,2.0,0.0,3rd age platebody,0,0,0,1,111944000.0,111000000.0,2.0,113000000.0,1.0,110896420.0,1.0,,0.0,2.0,2.0,,0.0,,0.0,106979993.0,2.0,104998554.0,1.0,107727667.0,3.0,,0.0,,0.0,104444111.0,1.0,1
